x [mm], y [mm], u [m/s], v [m/s]
-5.000000000000000000e+00, -6.500000000000000000e+01, 1.068297386169433594e+01, 4.819838702678680420e-02
5.000000000000000000e+00, -6.500000000000000000e+01, 1.065438938140869141e+01, 2.029409706592559814e-01
1.500000000000000000e+01, -6.500000000000000000e+01, 1.057713413238525391e+01, 3.675789833068847656e-01
2.500000000000000000e+01, -6.500000000000000000e+01, 1.047541141510009766e+01, 4.777974486351013184e-01
3.500000000000000000e+01, -6.500000000000000000e+01, 1.030722141265869141e+01, 4.804890453815460205e-01
4.500000000000000000e+01, -6.500000000000000000e+01, 1.010097026824951172e+01, 4.043906033039093018e-01
5.500000000000000000e+01, -6.500000000000000000e+01, 9.975914001464843750e+00, 3.148812651634216309e-01
6.500000000000000000e+01, -6.500000000000000000e+01, 1.000631237030029297e+01, 2.664101123809814453e-01
7.500000000000000000e+01, -6.500000000000000000e+01, 1.012989711761474609e+01, 2.509314119815826416e-01
8.500000000000000000e+01, -6.500000000000000000e+01, 1.023340797424316406e+01, 2.278538942337036133e-01
9.500000000000000000e+01, -6.500000000000000000e+01, 1.020042896270751953e+01, 1.782361268997192383e-01
1.050000000000000000e+02, -6.500000000000000000e+01, 1.006756305694580078e+01, 1.134928017854690552e-01
1.150000000000000000e+02, -6.500000000000000000e+01, 9.945760726928710938e+00, 2.548922412097454071e-02
1.250000000000000000e+02, -6.500000000000000000e+01, 9.885381698608398438e+00, -9.740912914276123047e-02
1.350000000000000000e+02, -6.500000000000000000e+01, 9.950641632080078125e+00, -1.857198327779769897e-01
1.450000000000000000e+02, -6.500000000000000000e+01, 9.964510917663574219e+00, -2.344941794872283936e-01
1.550000000000000000e+02, -6.500000000000000000e+01, 9.964242935180664062e+00, -3.003897964954376221e-01
1.650000000000000000e+02, -6.500000000000000000e+01, 1.004676246643066406e+01, -3.777372241020202637e-01
1.750000000000000000e+02, -6.500000000000000000e+01, 1.023610591888427734e+01, -4.474927783012390137e-01
1.850000000000000000e+02, -6.500000000000000000e+01, 1.052750015258789062e+01, -4.971077144145965576e-01
1.950000000000000000e+02, -6.500000000000000000e+01, 1.063535404205322266e+01, -5.205336213111877441e-01
-1.950000000000000000e+02, -5.500000000000000000e+01, nan, nan
-1.850000000000000000e+02, -5.500000000000000000e+01, nan, nan
-1.750000000000000000e+02, -5.500000000000000000e+01, nan, nan
-1.650000000000000000e+02, -5.500000000000000000e+01, nan, nan
-1.550000000000000000e+02, -5.500000000000000000e+01, nan, nan
-1.450000000000000000e+02, -5.500000000000000000e+01, nan, nan
-1.350000000000000000e+02, -5.500000000000000000e+01, nan, nan
-1.250000000000000000e+02, -5.500000000000000000e+01, nan, nan
-1.150000000000000000e+02, -5.500000000000000000e+01, 8.816841125488281250e+00, -3.992856740951538086e-01
-1.050000000000000000e+02, -5.500000000000000000e+01, 8.731412887573242188e+00, -3.973793685436248779e-01
-9.500000000000000000e+01, -5.500000000000000000e+01, 7.721026897430419922e+00, 1.107272505760192871e-02
-8.500000000000000000e+01, -5.500000000000000000e+01, 7.464945793151855469e+00, 2.354580760002136230e-01
-7.500000000000000000e+01, -5.500000000000000000e+01, 7.999266147613525391e+00, -1.205831766128540039e-03
-6.500000000000000000e+01, -5.500000000000000000e+01, 8.727033615112304688e+00, -2.926360964775085449e-01
-5.500000000000000000e+01, -5.500000000000000000e+01, 9.244643211364746094e+00, -4.302626848220825195e-01
-4.500000000000000000e+01, -5.500000000000000000e+01, 9.663410186767578125e+00, -4.977647662162780762e-01
-3.500000000000000000e+01, -5.500000000000000000e+01, 1.001241683959960938e+01, -5.083141326904296875e-01
-2.500000000000000000e+01, -5.500000000000000000e+01, 1.035348987579345703e+01, -4.577717185020446777e-01
-1.500000000000000000e+01, -5.500000000000000000e+01, 1.070124626159667969e+01, -3.516277074813842773e-01
-5.000000000000000000e+00, -5.500000000000000000e+01, 1.093368148803710938e+01, -1.855245232582092285e-01
5.000000000000000000e+00, -5.500000000000000000e+01, 1.103519248962402344e+01, 6.974580883979797363e-02
1.500000000000000000e+01, -5.500000000000000000e+01, 1.101543712615966797e+01, 3.786346912384033203e-01
2.500000000000000000e+01, -5.500000000000000000e+01, 1.083088970184326172e+01, 5.890937447547912598e-01
3.500000000000000000e+01, -5.500000000000000000e+01, 1.052272605895996094e+01, 6.286304593086242676e-01
4.500000000000000000e+01, -5.500000000000000000e+01, 1.024116230010986328e+01, 5.548429489135742188e-01
5.500000000000000000e+01, -5.500000000000000000e+01, 1.006590270996093750e+01, 4.680233597755432129e-01
6.500000000000000000e+01, -5.500000000000000000e+01, 1.004972171783447266e+01, 4.236441552639007568e-01
7.500000000000000000e+01, -5.500000000000000000e+01, 1.012460994720458984e+01, 3.912596702575683594e-01
8.500000000000000000e+01, -5.500000000000000000e+01, 1.018356037139892578e+01, 3.223701119422912598e-01
9.500000000000000000e+01, -5.500000000000000000e+01, 1.018714618682861328e+01, 2.297390848398208618e-01
1.050000000000000000e+02, -5.500000000000000000e+01, 1.013025569915771484e+01, 1.310298442840576172e-01
1.150000000000000000e+02, -5.500000000000000000e+01, 1.000820446014404297e+01, 1.660895161330699921e-02
1.250000000000000000e+02, -5.500000000000000000e+01, 9.846414566040039062e+00, -1.002402380108833313e-01
1.350000000000000000e+02, -5.500000000000000000e+01, 9.773204803466796875e+00, -1.656849086284637451e-01
1.450000000000000000e+02, -5.500000000000000000e+01, 9.827983856201171875e+00, -2.134436070919036865e-01
1.550000000000000000e+02, -5.500000000000000000e+01, 9.868238449096679688e+00, -2.683413028717041016e-01
1.650000000000000000e+02, -5.500000000000000000e+01, 9.961659431457519531e+00, -3.189315497875213623e-01
1.750000000000000000e+02, -5.500000000000000000e+01, 1.009273052215576172e+01, -3.818641901016235352e-01
